SEARCH:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITEM NO.,CATEGORY,SECTION,LOCATION,CURRENT STATUS,PARTICULARS,SYSTEM,EQUIPMENT,RS NUMBER,DATE RS SENT,QUOTATION STATUS,BRF NO.,AMOUNT,DATE UPLOADED,BRF STATUS,DATE APPROVED,PR NO.,DATE SENT,PR STATUS,DATE APPROVED,DATE UPLOADED TO SHARE POINT,DATE OF TECHNICAL EVALUATION SENT,PO NO.,DATE APPROVED,PO/WO STATUS,SUPPLIER,DELIVERY STATUS,DATE UPLOADED TO SHAREPOINT (RFP),RELEASED DATE,
,REGULAR PMS CONSUMABLES,Mechanical,DPTPP - Narra 1,DELIVERED,Narra Thermal Plant Lubricants,,,,"May 16, 2023",,BRF-PAL-2023-00211,"₱2,099,220.00","May 16, 2023",APPROVED,"May 21, 2023",PR007873,"May 29, 2023",APPROVED,"May 29, 2023",,,"PO-007286
PO-007284
PO-007285
PO-007286
PO-007285
PO-007286",,APPROVED,,DELIVERED,,,
,REGULAR PMS CONSUMABLES,Mechanical,DPTPP - Narra 1,DELIVERED,2023 3rd Quarter Chemical Requirement for Narra Thermal Power Plant,,,DPPC-MMAINT- RS-M043,"May 5, 2023",,BRF-PAL-2023-00241,"₱1,799,181.30","May 25, 2023",APPROVED,"June 2, 2023",PR007881,"June 8, 2023",APPROVED,"June 13, 2023",,,PO-007252,,APPROVED,,DELIVERED,,,
,REGULAR PMS CONSUMABLES,Mechanical,DPTPP - Narra 1,DELIVERED,Supply of urgent PMS Filters intended for Narra Thermal Power Plant Emegrency Diesel Generator Sets,,,DPPC-MMAINT- RS-2023-M057,"July 15, 2023",,BRF-PAL-2023-00318,"₱78,200.00","July 15, 2023",APPROVED,"July 26, 2023",PR007988,"August 15, 2023",APPROVED,"August 22, 2023",,,"FPO-000110
PO-007314",,APPROVED,,DELIVERED,,,
,CRITICAL/SAFETY SPARES,Mechanical,DPTPP - Narra 1,DELIVERED,Supply of Critical Safety Spares of Circulating Cooling Water Pump at DPTPP,,,DPPC-MMAINT- RS-M090,"November 8, 2023",,BRF-PAL-2023-00444,"₱2,487,480.00","October 24, 2023",APPROVED,"November 16, 2023",PR008104,"November 21, 2023",APPROVED,"November 23, 2023",,,PO-007574,,APPROVED,,DELIVERED,"August 9, 2024",,
,REGULAR PMS CONSUMABLES,Mechanical,DPTPP - Narra 1,DELIVERED,Supply of Regular PMS Filters for Limestone Conveying System Mobile Air Compressor at DPTPP,,,DPPC-MMAINT- RS-2023-M093,"November 4, 2023",,BRF-PAL-2023-00452,"₱221,212.00","November 9, 2023",APPROVED,"December 19, 2023",PR008151,"December 21, 2023",APPROVED,"December 21, 2023",,,"FPO-000117
PO-007441",,APPROVED,,DELIVERED,,,
,REGULAR PMS CONSUMABLES,Mechanical,DPTPP - Narra 1,DELIVERED,Supply of Regular PMS Filters for Limestone Conveying System Mobile Air Compressor at DPTPP,,,DPPC-MMAINT- RS-2023-M093,"November 19, 2023",,BRF-PAL-2023-00457,"₱117,693.00","November 9, 2023",APPROVED,"November 16, 2023",PR008093,"November 15, 2023",APPROVED,"November 20, 2023",,,FPO-000112,,APPROVED,,DELIVERED,,,
,REGULAR PMS CONSUMABLES,Mechanical,DPTPP - Narra 1,DELIVERED,Supply of Lubricating Oil for Screw Air Compressor at DPTPP,,,DPPC-MMAINT- RS-2023-M094,"November 19, 2023",,BRF-PAL-2023-00458,"₱106,094.64","November 9, 2023",APPROVED,"November 16, 2023",PR008094,"November 15, 2023",APPROVED,"November 20, 2023",,,PO-007398,,APPROVED,,DELIVERED,,,
,CRITICAL/SAFETY SPARES,Mechanical,DPTPP - Narra 1,DELIVERED,Supply of Coal Feeder C Replacement Parts at DPTPP - Narra_Urgent!,,,DPPC-MMAINT- RS-M088,"November 29, 2023",,BRF-PAL-2023-00483,"₱341,280.24","November 29, 2023",APPROVED,"December 5, 2023",PR008138,"December 14, 2023",APPROVED,"January 7, 2023",,,FPO-000120,,APPROVED,,DELIVERED,,,
,REGULAR PMS CONSUMABLES,Mechanical,DPTPP - Narra 1,DELIVERED,Supply of 1st Request of Fast-Moving Workshop Consumables of DPTPP (4th Revision),,,,,,BRF-PAL-2023-00484,"₱1,039,635.00","November 29, 2023",APPROVED,"December 19, 2023",PR008147,"December 20, 2023",APPROVED,"December 21, 2023",,,"PO-007859
PO-007860
PO-007861
PO-007862
PO-007863",,APPROVED,,DELIVERED,,,
,REGULAR PMS CONSUMABLES,Mechanical,DPTPP - Narra 1,DELIVERED,Supply of Narra Thermal Power Plant Equipment's Critical Pump & Motor Bearings (4th Revision),,,DPPC-MMAINT- RS-2023-M061,"November 29, 2023",,BRF-PAL-2023-00485,"₱632,734.00","November 29, 2023",APPROVED,"December 19, 2023",PR008119,"December 14, 2023",APPROVED,"December 17, 2023",,,"PO-007693, PO-007694, PO-007675",,APPROVED,,DELIVERED,,,
,REGULAR PMS CONSUMABLES,Mechanical,DPTPP - Narra 1,DELIVERED,Supply of Critical Replacement PMS Filters for DPTPP Water Treatment Plant (2nd Revision),,,DPPC-MMAINT- RS-2023-M091,"November 29, 2023",,BRF-PAL-2023-00486,"₱1,375,355.37","November 29, 2023",APPROVED,"December 13, 2023",PR008092,"November 21, 2023",APPROVED,"December 6, 2023",,,FPO-000118,,APPROVED,,DELIVERED,,,
,REGULAR PMS CONSUMABLES,Mechanical,DPTPP - Narra 1,DELIVERED,Supply of Critical Filters for Steam Water Analysis Sampling System (SWASS) at DPTPP,,,DPPC-MMAINT- RS-2023-M094,"November 29, 2023",,BRF-PAL-2023-00487,"₱247,103.51","November 29, 2023",APPROVED,"December 5, 2023",PR008139,"December 14, 2023",APPROVED,"January 7, 2023",,,"FPO-000119
FPO-000115",,APPROVED,,DELIVERED,,,
,CRITICAL/SAFETY SPARES,Mechanical,DPTPP - Narra 1,DELIVERED,Supply of Critical Electrodeionization (EDI) Spare Unit at Water Treatment Plant of DPTPP,,,DPPC-MMAINT- RS-2023-M0105,"December 28, 2023",,BRF-PAL-2023-00528,"₱476,345.25","December 28, 2023",APPROVED,"January 11, 2024",PR008172,"January 16,2024",APPROVED,"January 18,2024",,,FPO-000121,,APPROVED,,DELIVERED,,,
,CRITICAL/SAFETY SPARES,Mechanical,DPTPP - Narra 1,FOR DELIVERY,Supply of Critical Replacement Relief Valve for Steam Receiver of DPTPP,,,DPPC-MMAINT- RS-2023-M0103,"December 29, 2023",,BRF-PAL-2023-00530,"₱889,731.20","December 29, 2023",APPROVED,"January 5,2024",PR008118,"December 7,2023",APPROVED,"January 5,2024",,,FPO-000135,,APPROVED,,,,,
,CRITICAL/SAFETY SPARES,Mechanical,DPTPP - Narra 1,DELIVERED,Supply Critical Spare Parts for 3 Dump Truck Units at Narra Thermal Power Plant,,,DPPC-MMAINT- RS-M004,"February 2, 2024",,BRF-PAL-2024-00565,"₱469,116.00","February 2, 2024",APPROVED,"February 20, 2024",PR008277,"March 14, 2024",APPROVED,"April 15,2024",,,PO-007705,,APPROVED,,DELIVERED,,,
,REGULAR PMS CONSUMABLES,Mechanical,DPTPP - Narra 1,FOR FOLLOW UP,Supply of Critical Replacement PMS Filters for DPTPP Water Treatment Plant,,,DPC-MAINT-RS-2024-ME-M0021,"February 20, 2024",,BRF-PAL-2024-00585,"₱1,809,741.79","February 20, 2024",APPROVED,"February 27, 2024",PR008282,"March 14, 2024",APPROVED,"April 15,2024",,,FPO-000122,,APPROVED,,PARTIAL,,,
,REGULAR PMS CONSUMABLES,Mechanical,DPTPP - Narra 1,DELIVERED,Supply of Regular Change oil Schedule for DPTPP Screw Air Compressor,,,DPC-MAINT-RS-2024-ME-M0019,"March 13, 2024",,BRF-PAL-2024-00639,"₱408,000.00","March 13, 2024",APPROVED,"April 1, 2024",PR008305,"April 2, 2024",APPROVED,"April 4,2024",,,PO-007711,,APPROVED,,DELIVERED,,,
,CRITICAL/SAFETY SPARES,Mechanical,DPTPP - Narra 1,FOR REVISION,Readily Available Materials for Refractory Repair of DPTPP 15MW CFB Boiler,,,DPPC-MMAINT- RS-M030,"March 22, 2024",,BRF-PAL-2024-00656,"₱501,895.40","March 22, 2024",CANCELLED,,,,PENDING,,,,,,FOR APPROVAL,,,,,
,CRITICAL/SAFETY SPARES,Mechanical,DPTPP - Narra 1,DELIVERED,Supply of Consumable Parts for the Condenser tubes regular cleaning and Turbine oil filtration at DPTPP,,,DPC-MAINT-RS-2024-ME-M0015,"April 23, 2024",,BRF-PAL-2024-00699,"₱156,856.00","April 25, 2024",APPROVED,"May 7, 2024",PR008361,"May 15, 2024",APPROVED,"May 17, 2024",,,FPO-000129,,APPROVED,,DELIVERED,"August 8, 2024",,
,REGULAR PMS CONSUMABLES,Mechanical,DPTPP - Narra 1,DELIVERED,Supply of Regular Replacement PMS Filters for DPTPP Screw Air Compressor,,,DPC-MAINT-RS-2024-ME-M0011,"April 24, 2024",,BRF-PAL-2024-00700,"₱803,565.00","April 24, 2024",APPROVED,"May 7, 2024",PR008362,"May 15, 2024",APPROVED,"May 16, 2024",,,PO-007806,,APPROVED,,DELIVERED,,,
,REGULAR PMS CONSUMABLES,Mechanical,DPTPP - Narra 1,DELIVERED,Supply of Regular Replacement PMS Filters of Dust Collector for DPTPP Coal Handling,,,DPC-MAINT-RS-2024-ME-M0010,"April 29, 2024",,BRF-PAL-2024-00715,"₱92,586.23","April 29, 2024",APPROVED,"May 7, 2024",,,PENDING,,,,,,FOR REVISION,,DELIVERED,,,
,CRITICAL/SAFETY SPARES,Mechanical,DPTPP - Narra 1,AWAITING BUDGET,Supply of Critical Parts of Boiler Feed Water Pump at DPTPP - Narra,,,DPPC-MMAINT- RS-2024-ME-M007,"June 5, 2024",,BRF-PAL-2024-00767,"₱3,583,436.23","June 7, 2024",APPROVED,"June 16, 2024",PR008443,"July 1, 2024",APPROVED,"July 4, 2024","July 4, 2024","August 8, 2024","FPO-000148
FPO-000147",,,,PARTIAL,"January 21, 2025",,
,REGULAR PMS CONSUMABLES,Mechanical,DPTPP - Narra 1,DELIVERED,Supply of Urgent PMS Filters for DPTPP Heavy equipment.,,,DPC-MAINT-RS-2024-ME-M0017,"July 3, 2024",,BRF-PAL-2024-00797,"₱159,570.00","June 6, 2024",APPROVED,"July 22, 2024",PR008487,"July 22, 2024",APPROVED,"July 24, 2024","July 24, 2024",,PO-007877,,APPROVED,,DELIVERED,,,
,CRITICAL/SAFETY SPARES,Mechanical,DPTPP - Narra 1,FOR TECHNICAL EVALUATION,Supply of Submersible pump for the immediate dredging of sea water intake pond at DPTPP-Narra,,,DPC-MAINT-RS-2024-ME-M0022,"July 9, 2024",,BRF-PAL-2024-00809,"₱332,236.16","July 9, 2024",APPROVED,"July 23, 2024",PR008490,"July 23, 2024",APPROVED,"July 29, 2024","7/29/2024
November 14, 2024",,,,CANCELLED,,CANCELLED,,,
,REGULAR PMS CONSUMABLES,Mechanical,DPTPP - Narra 1,AWAITING BUDGET,Supply of Replenishment Critical Filters for Steam Water Analysis Sampling System (SWASS) at DPTPP,,,DPC-MAINT-RS-2024-ME-M0031,"July 9, 2024",,BRF-PAL-2024-00815,₱ 175863.13,"July 12, 2024",APPROVED,"July 23, 2024",PR008488,"July 23, 2024",APPROVED,"July 24, 2024","July 24, 2024",,FPO-000140,,,,,"August 28, 2024",,
,CRITICAL/SAFETY SPARES,Mechanical,DPTPP - Narra 1,DELIVERED,Supply of Critical Spare parts for Screw Air Compressor at DPTPP Narra,,,DPC-MAINT-RS-2024-ME-M0028,"July 22, 2024",,BRF-PAL-2024-00834,"₱1,126,615.00","July 25, 2024",APPROVED,"August 8, 2024",PR008521,"August 8, 2024",APPROVED,"August 9, 2024","August 9, 2024","September 9, 2024",PO-007938,,APPROVED,,DELIVERED,,,
,CRITICAL/SAFETY SPARES,Mechanical,DPTPP - Narra 1,AWAITING BUDGET,Supply of Critical Spare Parts for Coal Feeder at DPTPP-Narra,,,DPC-MAINT-RS-2024-ME-M0020,"July 22, 2024",,BRF-PAL-2024-00835,"₱ 871,765.84","July 25, 2024",APPROVED,"August 8, 2024",PR008520,"August 8, 2024",APPROVED,"August 9, 2024","August 9, 2024","September 3, 2024",FPO-000144,,,,,"October 23, 2024",,
,CRITICAL/SAFETY SPARES,Mechanical,DPTPP - Narra 1,FOR PURCHASE AND LIQUIDATION,Supply of Replacement parts for 3 Dumptruck at DPTPP - Narra,,,DPC-MAINT-RS-2024-ME-M0032,"July 22, 2024",,BRF-PAL-2024-00836,"₱ 96,000","July 25, 2024",APPROVED FOR PAYMENT,"August 2, 2024",,,,,N/A,,,,,,RELEASED,"August 2, 2024","August 16, 2024",
,REGULAR PMS CONSUMABLES,Mechanical,DPTPP - Narra 1,DELIVERED,Supply of Regular replenishment oil for PMS of Screw Air Compressor at DPTPP,,,DPC-MAINT-RS-2024-ME-M0047,"August 22, 2024",,BRF-PAL-2024-00901,"₱ 367,200.00","August 22, 2024",APPROVED,"September 3, 2024",PR008565,"September 3, 2024",APPROVED,"September 5, 2024","September 5, 2024",,PO-007879,,,,DELIVERED,,,
,CRITICAL/SAFETY SPARES,Mechanical,DPTPP - Narra 1,DELIVERED,Supply of Critical parts for Coal Handling System - Conveyor at DPTPP-Narra,,,"DPC-MAINT-RS-2024-ME-M0035","August 22, 2024",,BRF-PAL-2024-00902,"₱ 367,044.02","August 22, 2024",APPROVED,"September 3, 2024",PR008566,"September 3, 2024",APPROVED,"September 4, 2024","September 4, 2024","September 9, 2024",FPO-000145,,APPROVED,,DELIVERED,,,
,CRITICAL/SAFETY SPARES,Mechanical,DPTPP - Narra 1,FOR PURCHASE AND LIQUIDATION,Supply of Urgent Replacement parts for Dumptruck 78 at DPTPP - Narra,,,DPC-MAINT-RS-2024-ME-M0037,"August 28, 2024",,BRF-PAL-2024-00910,"₱95,560.00",,APPROVED FOR PAYMENT,,,,,,,,,,,,RELEASED,"September 6, 2024","October 9, 2024",
,CRITICAL/SAFETY SPARES,Mechanical,DPTPP - Narra 1,FOR PURCHASE AND LIQUIDATION,Replacement Slag Cooler Braided Flexible Hose for Condensate water recovery Line at DPTPP Narra,,,DPC-MAINT-RSLP-2024-ME-M001,"August 28, 2024",,BRF-PAL-2024-00911,"₱50,000.00",,APPROVED FOR PAYMENT,,,,,,,,,,,,RELEASED,"September 6, 2024","October 10, 2024",
,OTHERS,Mechanical,DPTPP - Narra 1,AWAITING BUDGET,Fabrication of Additional Racks for Workshop & Laboratory and Underground Hopper Screen at DPTPP -Narra,,,DPC-MAINT-RSLP-2024-ME-M002,,,BRF-PAL-2024-00924,"₱80,450.00",,APPROVED,,,,,,,,,,,,RELEASED,"September 11, 2024",,
,REGULAR PMS CONSUMABLES,Mechanical,DPTPP - Narra 1,DELIVERED,Replenishment Spare of Primary R.O Membranes for Water treatment System of DPTPP-Narra,,,DPC-MAINT-RS-2024-ME-M0059,"October 7, 2024",,BRF-PAL-2024-00972,"₱2,255,500.00",,APPROVED,"October 24, 2024",PR008643,"October 24, 2024",APPROVED,"October 30, 2024","October 30, 2024",,PO-007942,,APPROVED,,DELIVERED,,,
,REGULAR PMS CONSUMABLES,Mechanical,DPTPP - Narra 1,DELIVERED,Replenishment Consumable Parts for the Condenser tubes regular cleaning and Turbine oil filtration at DPTPP-Narra,,,DPC-MAINT-RS-2024-ME-M0064,"October 9, 2024",,BRF-PAL-2024-00978,"₱105,105.23","October 10, 2024",APPROVED,"October 24, 2024",PR008645,"October 24, 2024",APPROVED,"October 31, 2024","October 31, 2024",,FPO-000154,,APPROVED,,DELIVERED,,,
,REGULAR PMS CONSUMABLES,Mechanical,DPTPP - Narra 1,FOR TECHNICAL EVALUATION,Supply of Critical Spare Membranes for Secondary R.O System of DPTPP - Narra,,,DPC-MAINT-RS-2024-ME-M0052,,,BRF-PAL-2024-00983,"₱797,226.69",,APPROVED,,,"October 24, 2024",APPROVED,"October 30, 2024",10/30/2024,,,,CANCELLED,,,,,
,ANNUAL PMS,Mechanical,DPTPP - Narra 1,DELIVERED,Supply of Critical Replacement parts for Gland Sealing Control Valve for Steam Turbine at DPTPP Narra,,,DPC-MAINT-RS-2025-ME-M16,,,,,,,,PR008927,"March 12, 2025",APPROVED,"March 16, 2025","March 17, 2025",,FPO-000201,,,,DELIVERED,,,
,ANNUAL PMS,Mechanical,DPTPP - Narra 1,FOR P.O,"Supply of the Recommended overhauling parts for Steam Turbine, Oil system, Gland Condenser and Air Ejector at DPTPP Narra",,,DPC-MAINT-RS-2025-ME-M11,,,,,,,,PR008931,"March 13, 2025",APPROVED,"March 16, 2025","March 17, 2025","July 9, 2025",,,,,,,,
,ANNUAL PMS,Mechanical,DPTPP - Narra 1,FOR P.O,Supply of 2026 PMS Parts for Circulating Water Pumps (CWP) at DPTPP-Narra,,,DPC-MAINT-RS-2025-ME-M18,,,,,,,,PR008950,"March 19, 2025",APPROVED,"March 25, 2025","March 25, 2025","July 2, 2025",,,,,,,,
,ANNUAL PMS,Mechanical,DPTPP - Narra 1,FOR P.O,Supply of Additional 2 years Major overhaul parts for Steam Turbine at DPTPP Narra,,,DPC-MAINT-RS-2025-ME-M46,,,,,,,,PR009066,,APPROVED,"June 11, 2025","June 11, 2025","July 11, 2025",,,,,,,,
,ANNUAL PMS,Mechanical,DPTPP - Narra 1,FOR TECHNICAL EVALUATION,Supply of Coal Feeder Parts for 2026 PMS at DPTPP,,,DPC-MAINT-RS-2026-PMS-M01,,,,,,,,PR009150,,APPROVED,"July 2, 2025","July 3, 2025",,,,,,,,,
,ANNUAL PMS,Mechanical,DPTPP - Narra 1,FOR TECHNICAL EVALUATION,Supply of Coal & Biomass Handling System Parts for 2026 PMS at DPTPP ,,,DPC-MAINT-RS-2026-PMS-M02,,,,,,,,PR009151,,APPROVED,"July 2, 2025","July 3, 2025",,,,,,,,,
,ANNUAL PMS,Mechanical,DPTPP - Narra 1,FOR TECHNICAL EVALUATION,Supply of Slag and Fly Ash Handling System Parts for the 2026 PMS at DPTPP,,,DPC-MAINT-RS-2026-PMS-M03,,,,,,,,PR009152,,APPROVED,"July 2, 2025","July 3, 2025",,,,,,,,,
,ANNUAL PMS,Mechanical,DPTPP - Narra 1,FOR TECHNICAL EVALUATION,Supply of Heat Exchanger and Clarifier Parts for 2026 PMS at DPTPP,,,DPC-MAINT-RS-2026-PMS-M04,,,,,,,,PR009153,,APPROVED,"July 2, 2025","July 3, 2025",,,,,,,,,
,ANNUAL PMS,Mechanical,DPTPP - Narra 1,FOR TECHNICAL EVALUATION,Supply of Air Preheater Tubes for 2026 PMS at DPTPP,,,DPC-MAINT-RS-2026-PMS-M05,,,,,,,,PR009154,,APPROVED,"July 2, 2025","July 3, 2025",,,,,,,,,
,ANNUAL PMS,Mechanical,DPTPP - Narra 1,FOR TECHNICAL EVALUATION,Supply of Electrostatic Precipitator (ESP) Parts for 2026 PMS at DPTPP,,,DPC-MAINT-RS-2026-PMS-M06,,,,,,,,PR009156,,APPROVED,"July 2, 2025","July 3, 2025",,,,,,,,,
,ANNUAL PMS,Mechanical,DPTPP - Narra 1,FOR TECHNICAL EVALUATION,Supply of Boiler Fans Parts for 2026 PMS at DPTPP,,,DPC-MAINT-RS-2026-PMS-M07,,,,,,,,PR009155,,APPROVED,"July 2, 2025","July 3, 2025",,,,,,,,,
,ANNUAL PMS,Mechanical,DPTPP - Narra 1,FOR TECHNICAL EVALUATION,"2026 PMS at DPTPP Flue Gas expansion joint,  Pipes, Valves & Limestone Silo Parts",,,DPC-MAINT-RS-2026-PMS-M08,,,,,,,,PR009158,,APPROVED,"July 2, 2025","July 3, 2025",,,,,,,,,
,ANNUAL PMS,Mechanical,DPTPP - Narra 1,FOR TECHNICAL EVALUATION,Supply of Screw Air Compressor  Parts for 2026 PMS at DPTPP	,,,DPC-MAINT-RS-2026-PMS-M09,,,,,,,,PR009159,,APPROVED,"July 2, 2025","July 3, 2025",,,,,,,,,
,ANNUAL PMS,Mechanical,DPTPP - Narra 1,FOR FOLLOW UP,Supply of DPTPP PMS Parts 2024 for Turbine System,,,DPPC-MMAINT- RS-2024-NT-M002,,,,,,,,PR008223,"February 14, 2024",APPROVED,"February 22, 2024",,,FPO-000128,,APPROVED,SHIN NIPPON MACHINERY CO. LTD,PARTIAL,,,
,ANNUAL PMS,Mechanical,DPTPP - Narra 1,FOR FOLLOW UP,Supply of DPTPP PMS Parts 2024 for Refractory and Condensate System,,,DPPC-MMAINT- RS-2024-NT-M003,,,,,,,,PR008224,"February 15, 2024",APPROVED,"February 22, 2024",,,FPO-000130,,APPROVED, RVCGBI AND RVC GLOBAL MANAGEMENT,PARTIAL,,,
,ANNUAL PMS,Mechanical,DPTPP - Narra 1,FOR FOLLOW UP,Supply of DPTPP PMS Parts 2024 for Coal Handling,,,DPPC-MMAINT- RS-2024-NT-M004,,,,,,,,PR008225,"February 16, 2024",APPROVED,"February 17, 2024",,,FPO-000124,,APPROVED, RVCGBI AND RVC GLOBAL MANAGEMENT,PARTIAL,,,
,ANNUAL PMS,Mechanical,DPTPP - Narra 1,FOR FOLLOW UP,"Supply of DPTPP PMS Parts 2024 for Boiler System (Boiler Tubes, ESP, and Fans)",,,DPPC-MMAINT- RS-2024-NT-M005,,,,,,,,PR008226,"February 17, 2024",APPROVED,"February 22, 2024",,,"FPO 000125 
FPO-000126",,APPROVED," RVCGBI AND RVC GLOBAL MANAGEMENT(BOILERS)
 NFF INDUSTRIAL CORPORATION (ESP)",PARTIAL,,,
,ANNUAL PMS,Mechanical,DPTPP - Narra 1,FOR FOLLOW UP,Supply of DPTPP PMS Parts 2024 - Gaskets,,,DPPC-MMAINT- RS-2024-NT-M006,,,,,,,,PR008227,"February 18, 2024",APPROVED,"February 22, 2024",,,FPO-000123,,APPROVED, RVCGBI AND RVC GLOBAL MANAGEMENT,PARTIAL,,,
,ANNUAL PMS,Mechanical,DPTPP - Narra 1,FOR FOLLOW UP,Supply of DPTPP PMS Parts 2024 - Valves,,,DPPC-MMAINT- RS-2024-NT-M007,,,,,,,,PR008228,"February 19, 2024",APPROVED,"February 22, 2024",,,FPO-000127,,APPROVED, RVCGBI AND RVC GLOBAL MANAGEMENT,PARTIAL,,,
,ANNUAL PMS,Mechanical,DPTPP - Narra 1,FOR DELIVERY,Supplemental parts and consumables for boiler fans and water treatment tanks at DPTPP-Narra,,,DPC-MAINT-RS-2024-ME-M0027,,,,,,,,PR008444,"July 1, 2024",APPROVED,"July 4, 2024",,"September 9, 2024",FPO-000160,,APPROVED, RVCGBI AND RVC GLOBAL MANAGEMENT,,,,
,ANNUAL PMS,Mechanical,DPTPP - Narra 1,FOR FOLLOW UP,Supplemental urgent PMS parts for turbine system at DPTPP - Narra,,,DPC-MAINT-RS-2024-ME-M0016,,,,,,,,PR008463,"July 4, 2024",APPROVED,"July 5, 2024",,,FPO-000133,,APPROVED,SHIN NIPPON MACHINERY CO. LTD,PARTIAL,,,
,ANNUAL PMS,Mechanical,DPTPP - Narra 1,DELIVERED,Supplemental Scaffolding Materials for DPTPP 1st Annual PMS,,,DPTPP-2024-RS-PMS-MM01A,,,,,,,,PR008678,"November 15, 2024",APPROVED,"11/18/2024
11/27/2024","November 28, 2024",,PO-008001,,APPROVED,,DELIVERED,,,
,ANNUAL PMS,Mechanical,DPTPP - Narra 1,DELIVERED,Supplemental parts and consumables for boiler fans and water treatment tanks at DPTPP-Narra (PAINT),,,,,,,,,,,PR008810,,APPROVED,"January 30, 2025","January 30, 2025",,PO-008080,,APPROVED,,DELIVERED,,,
,ANNUAL PMS,Mechanical,DPTPP - Narra 1,DELIVERED,Supplemental PMS parts & consumables for Boiler Fans & WT Tanks at DPTPP-Narra (BEARING),,,DPC-MAINT-RS-2024-ME-M0027C,,,,,,,,PR008832,,APPROVED,"February 12, 2025","February 10, 2025",,PO-008136,,APPROVED,,DELIVERED,,,
,ANNUAL PMS,Mechanical,DPTPP - Narra 1,DELIVERED,Supplemental PMS parts & consumables for Boiler Fans & WT Tanks at DPTPP-Narra (GASKETS),,,,,,,,,,,PR008827,,APPROVED,"February 12, 2025","February 12, 2025",,PO-008097,,APPROVED,,DELIVERED,,,
,REGULAR PMS CONSUMABLES,Mechanical,DPTPP - Narra 1,DELIVERED,Supply of Regular Replacement PMS Filters for 1st Quarter of 2025 at DPTPP Water Treatment Plant,,,DPC-MAINT-RS-2024-ME-M0086,,,,,,,,PR008743,"December 10, 2024",APPROVED,"December 11, 2024","December 11, 2024",,FPO-000186,,APPROVED,,DELIVERED,,,
,CRITICAL/SAFETY SPARES,Mechanical,DPTPP - Narra 1,FOR PURCHASE AND LIQUIDATION,Payment for Dump Truck emergency replacement Parts at DPTPP,,,DPPC-MMAINT- RS-M002,"January 8, 2024",Served,BRF-PAL-2024-00537,"₱37,761.20","January 8, 2024",APPROVED FOR PAYMENT,,,,,,,,,,,,RELEASED,,"February 19, 2024",
,OTHERS,Mechanical,DPTPP - Narra 1,FOR PURCHASE AND LIQUIDATION,Replacement of Damaged Windshield of DPC Boom Truck,,,DPPC-MMAINT- RS-M029,"March 20, 2024",Served,BRF-PAL-2024-00651,"₱20,360.00","March 20, 2024",APPROVED FOR PAYMENT,,,,,,,,,,,,RELEASED,,"April 16, 2024",
,CRITICAL/SAFETY SPARES,Mechanical,DPTPP - Narra 1,FOR PURCHASE AND LIQUIDATION,Supply of Urgent Replacement Parts for DPTPP Dump Truck DT78,,,DPC-MAINT-RS-2024-ME-M0011,"March 20, 2024",Served,BRF-PAL-2024-00652,"₱92,596.00","March 20, 2024",APPROVED FOR PAYMENT,,,,,,,,,,,,RELEASED,,"April 16, 2024",
,REGULAR PMS CONSUMABLES,Mechanical,DPTPP - Narra 1,DELIVERED,Supply of Replacement Membranes for Primary RO System of DPTPP,,,DPPC-MMAINT- RS-M038,"May 3, 2024",Served,BRF-PAL-2024-00723,"₱2,212,771.00","May 3, 2024",APPROVED,"May 7, 2024",PR008366,"May 15, 2024",APPROVED,"May 16, 2024",,,PO-007723,,APPROVED,,DELIVERED,,,
,OTHERS,Mechanical,DPTPP - Narra 1,DELIVERED,Payment for the delivered Materials for the Refractory Repair of DPTPP 15MW CFB Boiler,,,DPPC-MMAINT- RS-M030,"August 20, 2024",Served,BRF-PAL-2024-00893,"₱479,987.20",,APPROVED,,,,APPROVED,,,,,,APPROVED,,DELIVERED,,,
,CRITICAL/SAFETY SPARES,Mechanical,DPTPP - Narra 1,DELIVERED,Supply of Critical Parts for Circulating Water Pump at DPTPP-Narra,,,DPC-MAINT-RS-2025-ME-M05,,,,,,,,PR008848,,APPROVED,"February 17, 2025","February 17, 2025",,FPO-000172,,APPROVED,,DELIVERED,,,
,REGULAR PMS CONSUMABLES,Mechanical,DPTPP - Narra 1,DELIVERED,Supply of Regular Replacement PMS Filters for 1st Quarter of 2025 at DPTPP Water Treatment Plant,,,DPC-MAINT-RS-2024-ME-M0086,,,,,,,,PR008743,"December 10, 2024",APPROVED,"December 11, 2024","December 11, 2024",,FPO-000186,,APPROVED,,DELIVERED,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
